lp 	rok 	km 	zwycięzca 	kraj 	2. miejsce 	kraj 	3. miejsce 	kraj 	raport
100 	2013 	3.360 	Christopher Froome 	 Wielka Brytania 	Nairo Quintana 	 Kolumbia 	Joaquim Rodríguez 	 Hiszpania 	TdF 2013
99 	2012 	3.497 	Bradley Wiggins 	 Wielka Brytania 	Christopher Froome 	 Wielka Brytania 	Vincenzo Nibali 	 Włochy 	TdF 2012
98 	2011 	3.430 	Cadel Evans 	 Australia 	Andy Schleck 	 Luksemburg 	Fränk Schleck 	 Luksemburg 	TdF 2011
97 	2010 	3.642 	Andy Schleck 	 Luksemburg 	Dienis Mieńszow 	 Rosja 	Samuel Sánchez 	 Hiszpania 	TdF 2010
96 	2009 	3.459 	Alberto Contador 	 Hiszpania 	Andy Schleck 	 Luksemburg 	Lance Armstrong 	Stany Zjednoczone Stany Zjednoczone 	TdF 2009
95 	2008 	3.556 	Carlos Sastre 	 Hiszpania 	Cadel Evans 	 Australia 	Dienis Mieńszow 	 Rosja 	TdF 2008
94 	2007 	3.570 	Alberto Contador 	 Hiszpania 	Cadel Evans 	 Australia 	Levi Leipheimer 	 Stany Zjednoczone 	TdF 2007
93 	2006 	3.656 	Oscar Pereiro 	 Hiszpania 	Andreas Klöden 	 Niemcy 	Carlos Sastre 	 Hiszpania 	TdF 2006
92 	2005 	3.607 	Lance Armstrong 	Stany Zjednoczone Stany Zjednoczone 	Ivan Basso 	 Włochy 	Jan Ullrich 	 Niemcy 	TdF 2005
91 	2004 	3.391 	Lance Armstrong 	Stany Zjednoczone Stany Zjednoczone 	Andreas Klöden 	 Niemcy 	Ivan Basso 	 Włochy 	TdF 2004
90 	2003 	3.350 	Lance Armstrong 	Stany Zjednoczone Stany Zjednoczone 	Jan Ullrich 	 Niemcy 	Aleksandr Winokurow 	 Kazachstan 	TdF 2003
89 	2002 	3.276 	Lance Armstrong 	Stany Zjednoczone Stany Zjednoczone 	Joseba Beloki 	 Hiszpania 	Raimondas Rumšas 	 Litwa 	TdF 2002
88 	2001 	3.453 	Lance Armstrong 	Stany Zjednoczone Stany Zjednoczone 	Jan Ullrich 	 Niemcy 	Joseba Beloki 	 Hiszpania 	TdF 2001
87 	2000 	3.662 	Lance Armstrong 	Stany Zjednoczone Stany Zjednoczone 	Jan Ullrich 	 Niemcy 	Joseba Beloki 	 Hiszpania 	TdF 2000
86 	1999 	3.870 	Lance Armstrong 	Stany Zjednoczone Stany Zjednoczone 	Alex Zülle 	 Szwajcaria 	Fernando Escartin 	 Hiszpania 	TdF 1999
85 	1998 	3.850 	Marco Pantani 	 Włochy 	Jan Ullrich 	 Niemcy 	Bobby Julich 	 Stany Zjednoczone 	TdF 1998
84 	1997 	3.950 	Jan Ullrich 	 Niemcy 	Richard Virenque 	 Francja 	Marco Pantani 	 Włochy 	TdF 1997
